lineage,label
FE.1.1.1,Omicron
FE.1.1.2,Omicron
FE.1.1.4,Omicron
FE.1.1.5,Omicron
FE.1.2,Omicron
FF.1,Omicron
FG.1,Omicron
FG.2,Omicron
FG.3,Omicron
FH.1,Omicron
FJ.1,Omicron
FK.1,Omicron
FK.1.1,Omicron
FK.1.1.2,Omicron
FK.1.2,Omicron
FK.1.2.1,Omicron
FK.1.2.2,Omicron
FK.1.3.2,Omicron
FK.1.5,Omicron
FL.1.1,Omicron
FL.1.3,Omicron
FL.1.4,Omicron
FL.1.5,Omicron
FL.1.5.2,Omicron
FL.1.6,Omicron
FL.1.8,Omicron
FL.10.1,Omicron
FL.10.2,Omicron
FL.10.3,Omicron
FL.11,Omicron
FL.13,Omicron
FL.13.2,Omicron
FL.13.3,Omicron
FL.13.3.1,Omicron
FL.13.4.1,Omicron
FL.14,Omicron
FL.15,Omicron
FL.15.1.1,Omicron
FL.15.2,Omicron
FL.15.3,Omicron
FL.15.4,Omicron
FL.16,Omicron
FL.17,Omicron
FL.17.2,Omicron
FL.18.1,Omicron
FL.19.1,Omicron
FL.2,Omicron
FL.2.1,Omicron
FL.2.2.1,Omicron
FL.2.3,Omicron
FL.2.4,Omicron
FL.2.5,Omicron
FL.2.6,Omicron
FL.2.7,Omicron
FL.2.7.1,Omicron
FL.20,Omicron
FL.20.1,Omicron
FL.20.2,Omicron
FL.21,Omicron
FL.22,Omicron
FL.23,Omicron
FL.23.1,Omicron
FL.24,Omicron
FL.24.1,Omicron
FL.27,Omicron
FL.29,Omicron
FL.3,Omicron
FL.3.1,Omicron
FL.3.2,Omicron
FL.3.3,Omicron
FL.3.4,Omicron
FL.30.1,Omicron
FL.31.1,Omicron
FL.32,Omicron
FL.32.1,Omicron
FL.33,Omicron
FL.34,Omicron
FL.35,Omicron
FL.36,Omicron
FL.37,Omicron
FL.4,Omicron
FL.4.1,Omicron
FL.4.11,Omicron
FL.4.2,Omicron
FL.4.3,Omicron
FL.4.5,Omicron
FL.4.6,Omicron
FL.5,Omicron
FL.5.1,Omicron
FL.6,Omicron
FL.7,Omicron
FL.8,Omicron
FL.9,Omicron
FM.1,Omicron
FN.1,Omicron
FP.2.1,Omicron
FP.2.1.1,Omicron
FP.4,Omicron
FR.1,Omicron
FS.1,Omicron
FT.1,Omicron
FT.2,Omicron
FT.3,Omicron
FT.3.1,Omicron
FT.3.1.1,Omicron
FT.4,Omicron
FU.1,Omicron
FU.1.1.1,Omicron
FU.2,Omicron
FU.2.1,Omicron
FU.3,Omicron
FU.5,Omicron
FV.1,Omicron
FW.1,Omicron
FW.1.1,Omicron
FW.1.1.1,Omicron
FY.1,Omicron
FY.1.1,Omicron
FY.1.2,Omicron
FY.1.2.1,Omicron
FY.1.2.2,Omicron
FY.1.2.3,Omicron
FY.1.4,Omicron
FY.1.4.1,Omicron
FY.2,Omicron
FY.2.1,Omicron
FY.3,Omicron
FY.3.1,Omicron
FY.3.2,Omicron
FY.3.3,Omicron
FY.4,Omicron
FY.4.1.1,Omicron
FY.4.1.2,Omicron
FY.4.2,Omicron
FY.5.1,Omicron
FY.5.1.1,Omicron
FY.5.2,Omicron
FY.5.4,Omicron
FY.5.5,Omicron
FY.5.5.1,Omicron
FY.6,Omicron
FY.6.1,Omicron
FY.8.1,Omicron
FY.8.1.1,Omicron
FY.9,Omicron
FZ.1,Omicron
FZ.1.1,Omicron
FZ.2,Omicron
GA.1,Omicron
GA.3,Omicron
GA.4.1,Omicron
GA.4.1.2,Omicron
GA.4.1.3,Omicron
GA.5,Omicron
GA.6,Omicron
GB.1,Omicron
